trace_nb;correct_bytes;log2(key_rank)
10;0;126.8226817
20;0;126.8047858
30;0;124.1935158
40;0;123.7455478
50;0;125.0779808
60;0;124.6444539
70;0;123.9780685
80;0;122.5660895
90;0;122.8563516
100;0;122.3593898
110;0;122.2917136
120;0;121.6824439
130;0;119.4458419
140;0;119.731844
150;0;119.8531571
160;0;118.9941874
170;0;119.7549303
180;0;118.1068268
190;0;118.7484926
200;0;118.9589101
210;0;118.4152906
220;0;118.083317
230;0;117.8980422
240;0;117.2635774
250;0;118.5315371
260;0;117.0090966
270;0;117.7364918
280;0;117.8829549
290;0;118.0847026
300;0;119.3488522
310;0;118.9336816
320;0;118.3316811
330;0;118.9394321
340;0;119.1487504
350;0;119.6134537
360;0;118.8820159
370;0;118.5722478
380;0;118.4434186
390;0;117.5429933
400;0;116.7330709
410;0;116.5265919
420;0;116.0946512
430;0;116.2266319
440;0;116.7264827
450;0;116.348745
460;0;116.3678541
470;0;116.6153645
480;0;117.313143
490;0;117.8515988
500;0;117.514853
530;0;116.5694516
560;0;114.6499501
590;0;114.9100428
620;0;114.2737664
650;0;114.3708154
680;0;114.224704
710;0;114.9037251
740;0;115.5571316
770;0;115.2019208
800;0;115.080868
830;0;114.5319661
860;0;113.3960162
890;0;113.4603899
920;0;113.869124
950;0;114.1920481
980;0;113.4549016
1000;0;113.4905348
1060;0;114.0923575
1120;0;114.0731758
1180;0;113.3263408
1240;0;113.6614668
1300;0;113.4822998
1360;0;113.6838815
1420;0;112.6871275
1480;0;111.2941666
1540;0;110.9696141
1600;1;110.8026233
1660;0;110.002796
1720;0;110.8266614
1780;0;109.6539965
1840;0;108.0551139
1900;0;107.8556804
1960;0;108.6900224
2000;0;109.0182214
2200;0;107.5678818
2400;0;107.4691069
2600;0;105.903431
2800;0;107.4670918
3000;0;106.5805421
3200;1;105.4717882
3400;0;104.1670823
3600;0;104.8825754
3800;0;105.5317375
