trace_nb;correct_bytes;log2(key_rank)
10;0;109.3300604
20;0;102.3081478
30;0;99.93140743
40;0;96.06949995
50;1;96.34222004
60;1;91.70060156
70;1;90.22625161
80;1;92.76504552
90;1;90.39468069
100;1;90.68266345
110;0;88.03289192
120;0;87.28530037
130;1;86.77189015
140;0;86.65504421
150;0;89.16758482
160;0;87.76188346
170;0;86.51333134
180;0;86.0450426
190;0;85.00115622
200;0;82.94552233
210;0;82.64430725
220;0;81.35963961
230;0;80.5735342
240;0;80.588724
250;0;80.67911863
260;0;80.21921719
270;0;79.17366929
280;0;78.52127093
290;0;78.47681452
300;0;77.84917105
310;0;78.52773616
320;0;78.58145559
330;0;78.35596831
340;0;77.26385573
350;0;76.81853038
360;0;76.34397691
370;0;76.31239166
380;0;76.42041571
390;0;77.17844297
400;0;77.11757165
410;0;76.31975543
420;1;76.41443482
430;1;76.55455869
440;0;76.85546514
450;0;77.10661691
460;0;77.13605984
470;0;76.91796732
480;0;76.58519975
490;0;76.00525829
500;0;75.03549659
530;1;74.15000228
560;0;73.94366952
590;0;74.16202412
620;0;74.15764783
650;0;73.96843543
680;0;74.3487806
710;0;74.7096004
740;0;75.1912737
770;0;74.99680461
800;0;74.29244074
830;0;73.86362951
860;1;73.8076365
890;1;73.57961266
920;1;73.79010374
950;0;73.71203813
980;0;73.34944592
1000;1;72.74614059
1060;0;72.84121682
1120;1;73.08772508
1180;0;73.89116697
1240;0;74.0908143
1300;0;73.9695642
1360;0;74.15276722
1420;0;74.11581507
1480;0;74.34585573
1540;0;74.25003733
1600;0;74.10593231
1660;0;73.93991837
1720;0;73.97019306
1780;0;73.70016708
1840;0;74.05138447
1900;0;73.87701398
1960;0;73.74830105
2000;0;73.88366668
2200;0;72.14457715
2400;1;72.18873969
2600;1;72.04842877
2800;1;72.32295246
3000;0;72.20090173
3200;0;72.10106513
3400;0;71.62319002
3600;0;72.06150583
3800;1;71.77736342
