trace_nb;correct_bytes;log2(key_rank)
10;0;120.4141568
20;0;117.0737173
30;0;112.538748
40;0;111.9200216
50;0;116.4214649
60;0;116.3110719
70;0;112.7997507
80;0;113.573633
90;0;111.074379
100;0;108.5283933
110;0;107.8433036
120;0;109.0776048
130;0;104.8445165
140;0;105.3098574
150;1;105.4596394
160;1;103.6196058
170;1;102.8098267
180;1;101.9205745
190;1;102.3741873
200;2;102.0076346
210;1;102.298412
220;1;100.5151892
230;0;101.3798988
240;0;99.29754076
250;0;100.1012097
260;0;99.94144117
270;0;100.1268633
280;0;99.77283248
290;0;99.66131214
300;0;98.33708437
310;0;98.27297802
320;0;98.63498633
330;0;97.38140962
340;0;96.34451431
350;0;95.56500356
360;0;96.79046436
370;0;96.67874252
380;0;97.14569633
390;0;96.16081165
400;0;96.3526866
410;0;95.71869945
420;0;94.68683436
430;0;93.24127867
440;0;93.17901846
450;0;93.43786868
460;0;92.73789275
470;0;92.68858191
480;0;92.12595321
490;0;91.54196073
500;0;90.42322735
530;1;89.98797059
560;0;90.59999986
590;0;88.69838503
620;0;87.33865234
650;0;85.17263008
680;0;84.43789304
710;0;86.99903726
740;0;88.54068305
770;0;87.26131119
800;0;87.83955765
830;0;88.22506048
860;0;87.72989954
890;0;86.08840401
920;0;85.07698278
950;0;85.00820188
980;0;84.03432891
1000;0;84.30031061
1060;0;85.66324841
1120;0;85.52074036
1180;0;83.70387824
1240;0;85.24872119
1300;0;84.96721738
1360;0;83.50797822
1420;0;82.50830118
1480;0;82.12469252
1540;0;80.767863
1600;0;80.18107317
1660;0;79.75948613
1720;0;79.93684614
1780;1;78.8401822
1840;0;78.06295786
1900;0;78.47214367
1960;0;77.78029813
2000;0;76.99678341
2200;0;76.73343492
2400;0;78.01588077
2600;0;77.64655019
2800;0;76.71418043
3000;0;75.54658294
3200;0;74.92960051
3400;0;74.72966424
3600;0;73.81488224
3800;0;74.77686642
