trace_nb;correct_bytes;log2(key_rank)
10;0;120.5383169
20;0;105.47835
30;0;96.30773552
40;0;89.94133546
50;0;89.54837333
60;0;91.6339165
70;0;90.32718088
80;0;88.42803733
90;0;90.58868265
100;0;89.63810011
110;0;89.31201616
120;0;90.73868622
130;0;89.80104727
140;1;87.63859123
150;0;87.35605629
160;1;84.98094402
170;1;82.83863716
180;1;79.08080597
190;0;79.79004843
200;0;81.01242828
210;0;78.82455912
220;0;80.5283704
230;0;79.86020594
240;0;80.10770658
250;0;79.30398224
260;0;79.82370719
270;0;80.22531828
280;0;79.54667557
290;0;79.90954329
300;0;78.60526896
310;0;79.26034156
320;0;79.82010005
330;1;79.46093096
340;0;79.44202876
350;0;79.80141411
360;1;78.40530813
370;0;78.3690148
380;0;78.25691029
390;0;79.01867776
400;0;78.68188267
410;0;77.95922363
420;0;78.13800142
430;0;78.80196756
440;0;78.74362186
450;0;78.08346585
460;0;77.3853341
470;0;77.08728621
480;0;76.34729892
490;0;76.08905465
500;0;75.97937393
530;0;75.08205345
560;0;74.66289962
590;0;73.3557058
620;0;73.51937669
650;0;74.96630123
680;0;75.4327224
710;0;74.91071835
740;0;74.23781028
770;0;74.60481486
800;0;74.67721788
830;0;75.24981397
860;0;74.53959561
890;0;74.88348099
920;0;74.36723983
950;0;73.52599182
980;1;73.30341113
1000;1;72.70971976
1060;1;72.23995225
1120;1;72.66310346
1180;1;72.84497062
1240;1;72.51672886
1300;1;73.45190392
1360;1;73.76134323
1420;0;73.04477465
1480;0;73.15371044
1540;0;72.63255178
1600;0;71.86383805
1660;0;71.68218575
1720;0;71.2260317
1780;0;71.09841388
1840;1;70.80171885
1900;1;71.5268454
1960;1;71.1737096
2000;1;71.47101273
2200;1;70.41555531
2400;1;69.95189367
2600;1;69.3011758
2800;1;69.6322888
3000;0;69.36675883
3200;0;68.38593716
3400;0;68.16477206
3600;0;67.66256349
3800;0;66.77905974
