trace_nb;correct_bytes_amp;hd_sum_amp;log2(key_rank)_amp;correct_bytes_phr;hd_sum_phr;log2(key_rank)_phr;correct_bytes_recombined;hd_sum_recombined;log2(key_rank)_recombined
2;0;62;119.0980321;0;64;119.9600019;0;66;116.2860396
3;0;63;109.1788349;0;59;114.5689312;0;54;103.2920109
4;0;50;105.7900324;1;51;93.3829292;0;47;87.13286373
5;0;50;96.21010567;1;46;91.09969686;0;36;80.22891436
6;0;35;78.8054434;0;38;79.24288995;0;33;61.97824214
7;2;28;68.96567049;1;33;67.6835436;1;26;53.74410569
8;2;31;58.6342075;3;26;62.32887453;2;20;44.89210105
9;5;21;49.96594891;4;20;55.37126526;3;20;39.86500614
10;4;18;48.11103851;4;15;52.88093501;3;19;40.25224238
11;5;16;46.48027719;2;22;52.81649224;6;15;39.03696272
12;4;23;48.70316614;2;22;50.6939838;4;18;39.70420123
13;5;18;44.63803148;4;17;44.72486516;4;16;36.23309278
14;4;18;45.03463135;4;16;43.24024534;5;15;35.82652287
15;4;17;44.72882165;4;18;44.59049225;3;18;36.39157227
16;3;20;41.06643733;4;15;42.61895087;7;12;34.37615975
17;3;17;40.38918482;4;16;41.40343654;8;9;33.21993293
18;5;13;36.66894052;5;17;38.82952472;8;9;31.55259303
19;5;13;35.93162473;5;15;38.43628299;7;10;32.12138049
20;5;12;34.6696218;5;15;36.59802753;8;9;30.86697045
21;5;12;34.36306197;6;14;36.59591477;7;12;31.63550615
22;4;15;34.63912432;6;14;37.04929033;8;9;32.02771373
23;4;15;34.66139338;7;13;35.68741565;7;11;31.9339178
24;4;15;34.8935538;5;17;35.43193586;5;15;31.85773237
25;4;14;32.62062584;5;17;34.12237702;7;11;29.38466917
26;5;13;32.36701646;4;18;34.82580161;7;11;30.87986224
27;5;15;33.192819;3;19;34.24526371;6;12;31.28724992
28;5;16;34.23361782;3;18;34.64223575;7;11;31.93477936
29;4;15;35.16193201;4;16;36.03269032;7;11;33.30926442
30;4;15;34.25960401;4;16;35.27857785;6;12;32.33492347
31;3;16;34.74590756;4;16;35.27857785;6;12;32.55192974
32;3;16;35.0843455;4;17;34.30928303;7;11;32.25668942
33;4;15;35.57691076;5;16;34.17103944;5;13;32.82014196
34;4;15;36.91787545;4;19;34.73006343;4;15;32.89599696
35;4;15;36.48785764;4;19;34.8829658;4;15;32.9975527
36;3;16;35.87400542;4;19;34.97844694;4;16;32.64676092
37;4;15;35.85151889;5;17;34.23828416;5;15;32.53070739
38;3;17;35.25809174;5;17;34.47465856;4;17;32.5664936
39;3;18;35.06499517;6;16;33.74646075;4;17;32.32012957
40;4;17;34.60840091;5;18;33.74312274;4;17;32.15924658
