trace_nb;correct_bytes_amp;hd_sum_amp;log2(key_rank)_amp;correct_bytes_phr;hd_sum_phr;log2(key_rank)_phr;correct_bytes_recombined;hd_sum_recombined;log2(key_rank)_recombined
117;16;0;0;2;51;83.93036401;16;0;0
118;16;0;0;1;59;85.34033999;16;0;0
119;16;0;0;1;60;85.84139721;16;0;0
120;16;0;0;2;57;86.69716548;16;0;0
121;16;0;0;3;54;79.49767177;16;0;0
122;16;0;0;3;56;78.83952108;16;0;0
123;16;0;0;4;54;76.75441971;16;0;0
124;16;0;0;4;50;72.78953557;16;0;0
125;16;0;0;3;60;69.65168184;16;0;0
126;16;0;0;5;45;67.22145957;16;0;0
127;16;0;0;6;42;63.35456012;16;0;0
128;16;0;0;7;40;62.35661769;16;0;0
129;16;0;0;7;40;60.13227756;16;0;0
130;16;0;0;8;35;58.53461331;16;0;0
131;16;0;0;7;45;58.8758681;16;0;0
132;16;0;0;6;45;58.20248145;16;0;0
133;16;0;0;7;41;56.67979619;16;0;0
134;16;0;0;6;51;56.93128383;16;0;0
135;16;0;0;6;49;57.55839222;16;0;0
136;16;0;0;6;43;56.57871365;16;0;0
137;16;0;0;5;52;57.14435427;16;0;0
138;16;0;0;6;42;53.39700356;16;0;0
139;16;0;0;6;44;50.60278958;16;0;0
140;16;0;0;6;42;50.32002571;16;0;0
141;16;0;0;8;37;49.04234166;16;0;0
142;16;0;0;8;33;48.19834744;16;0;0
143;16;0;0;7;43;48.2576489;16;0;0
144;16;0;0;8;35;50.31579638;16;0;0
145;16;0;0;9;27;46.69281431;16;0;0
146;16;0;0;10;28;49.45326509;16;0;0
147;16;0;0;9;30;52.29325416;16;0;0
148;16;0;0;7;41;51.93203439;16;0;0
149;16;0;0;8;35;51.66376112;16;0;0
150;16;0;0;8;32;53.83699169;16;0;0
151;16;0;0;8;33;53.01840277;16;0;0
152;16;0;0;9;27;51.80938105;16;0;0
153;16;0;0;10;25;48.72268848;16;0;0
154;16;0;0;9;23;50.05676543;16;0;0
155;16;0;0;11;18;48.54143443;16;0;0
156;16;0;0;10;24;46.35092087;16;0;0
157;16;0;0;10;23;46.22563578;16;0;0
158;16;0;0;10;23;45.95599054;16;0;0
159;16;0;0;10;24;43.00461144;16;0;0
160;16;0;0;11;20;39.79266094;16;0;0
161;16;0;0;11;20;39.57570828;16;0;0
162;16;0;0;11;18;35.52965784;16;0;0
163;16;0;0;10;25;40.19133372;16;0;0
164;16;0;0;10;25;40.65916907;16;0;0
165;16;0;0;10;24;40.26668216;16;0;0
166;16;0;0;10;24;37.46248134;16;0;0
167;16;0;0;10;24;35.42700472;16;0;0
168;16;0;0;10;24;35.78704037;16;0;0
169;16;0;0;11;20;33.62618708;16;0;0
170;16;0;0;11;24;31.86280432;16;0;0
171;16;0;0;11;24;33.02552809;16;0;0
