trace_nb;correct_bytes_amp;hd_sum_amp;log2(key_rank)_amp;correct_bytes_phr;hd_sum_phr;log2(key_rank)_phr;correct_bytes_recombined;hd_sum_recombined;log2(key_rank)_recombined
3;0;67;126.5308602;0;67;126.5308602;0;67;126.5308602
4;0;58;127.0365908;0;58;127.0365908;0;58;127.0365908
5;0;68;127.2187635;0;64;126.91526;0;68;127.3195737
6;0;65;123.569575;0;63;127.7186534;0;65;127.0988006
7;1;68;127.4863323;0;61;127.2910505;1;59;127.4701473
8;0;61;127.6569483;0;68;127.6922031;0;60;127.7892045
9;0;73;127.2667855;0;69;127.4766599;0;58;127.4724731
10;0;69;127.5159012;0;64;127.8200765;0;65;127.806462
11;0;67;127.4176281;0;60;127.0288842;0;69;127.3242273
12;0;64;126.305825;0;57;126.693814;0;63;126.2980497
13;1;67;126.3874625;0;64;123.6997432;1;56;124.3484505
14;1;66;125.1576785;0;59;126.4100016;0;64;125.267396
15;1;55;125.6459342;0;62;123.863769;0;59;123.4891889
16;1;55;125.3492643;0;62;125.0539634;1;57;124.196416
17;1;53;121.2977058;0;60;124.1453568;1;58;120.1134158
18;2;49;118.0151434;0;63;123.0334693;2;53;116.3144585
19;1;63;115.6108887;0;54;124.9167919;2;52;117.1902535
20;1;61;120.058046;0;68;123.5198696;0;73;118.6221754
21;2;55;114.0229822;0;69;125.2941996;1;70;116.8384719
22;2;54;115.2021426;0;64;126.9588957;0;68;120.5878714
23;2;54;111.5894102;0;59;126.5695422;1;65;117.7118017
24;3;57;103.8989221;0;56;127.1115934;1;72;114.873154
25;3;44;99.59119461;0;56;126.1111706;1;62;109.5953274
26;2;63;101.6522499;0;57;125.8336543;0;69;110.9214795
27;1;67;99.63788672;0;60;125.5580849;1;57;108.4473735
28;1;69;99.66258931;0;64;125.1757378;1;61;107.2554143
29;2;71;94.4421102;0;65;123.8500439;1;61;100.74006
30;6;36;86.82006565;0;70;124.7757594;0;61;97.93964268
31;7;28;73.64328285;0;71;125.2321849;2;57;91.15279604
32;7;34;65.6123418;0;68;124.9507371;3;56;83.56312963
33;8;28;62.63059552;1;63;125.3207;4;52;83.20454031
34;7;38;53.7122853;2;66;123.9990681;5;50;70.70381316
35;7;34;51.53008299;1;58;123.8627249;7;41;70.08947541
36;8;33;48.11039872;0;63;125.5084579;6;48;73.56900792
37;9;27;48.03800496;0;63;124.180133;7;46;70.66041119
38;9;30;47.64625377;1;57;123.4543122;8;41;67.32107657
39;10;26;47.89414061;0;64;120.3341094;6;51;60.81398419
40;10;32;46.00744289;0;57;118.988928;6;46;56.95025411
41;10;29;42.87693648;0;54;116.8633156;7;44;51.61792258
42;10;28;39.27985409;1;51;117.9791796;8;39;49.59270939
43;10;26;37.46562928;2;52;119.2444433;7;36;49.75487109
44;10;23;41.18390839;1;61;118.5566566;7;40;51.50921162
45;10;23;32.06192601;1;58;115.794863;9;26;40.11712366
46;10;22;29.19176379;1;56;111.537852;9;31;33.49451523
47;12;16;23.34647572;1;60;109.7023464;10;28;26.94471493
48;12;17;22.52706077;1;53;110.5246493;10;25;26.13885357
49;13;14;19.70189697;1;60;114.4728024;11;18;25.18765495
50;12;19;16.13189714;1;63;110.5866776;12;16;19.87997655
51;14;9;10.13955135;1;62;107.5830929;13;14;15.26568829
52;13;11;8.531381461;1;59;106.1278222;14;9;10.5943246
53;11;21;9.647458426;1;64;107.9487103;13;14;13.90839262
54;13;11;8.836050355;1;59;107.2175831;13;11;15.35559198
55;13;11;8.21916852;1;60;108.0509576;12;12;18.69371835
56;14;7;3.321928095;1;58;105.9542788;13;13;13.97522104
57;15;4;2;2;56;101.9383592;13;15;12.89026428
58;16;0;0;2;60;97.1528228;13;15;11.75905594
59;16;0;0;2;63;95.10232425;13;13;9.550746785
60;16;0;0;2;62;89.60153215;13;11;4.857980995
61;15;2;1;2;62;86.15569103;16;0;1
62;15;2;2.321928095;2;60;85.19427817;15;3;1
